id,webpage,fingerprint
976,mint.com,1D:BF:1D:B8:63:B9:BD:F5:EC:75:EF:CE:A9:31:9E:3E:F8:BC:B2:D5:0A:A2:32:6E:58:AD:94:D2:B3:BA:F6:1A
983,match.com,C7:DE:0D:6A:30:C9:41:62:A1:3D:E5:AF:27:38:37:04:76:4D:FB:1C:55:CB:CB:BD:1A:B6:AD:47:51:4F:65:F3
1026,poringa.net,C3:B7:7B:92:75:8C:89:B7:E9:55:61:09:7B:44:23:9B:B2:0A:84:43:B0:F2:01:A7:A6:A9:FF:DB:FF:99:6E:DE
1052,backpage.com,D5:80:BD:48:35:84:98:C9:0F:4A:B8:97:E1:F0:A9:86:2A:37:4A:36:8D:C7:5E:C1:C5:59:A9:BB:87:EE:7B:CF
1064,immobilienscout24.de,CB:DB:86:E7:C9:1A:BC:C7:A9:B7:E9:8D:6E:5F:47:F7:EB:E9:6D:4F:D1:B7:7B:82:DE:D4:8A:75:55:C6:98:51
1080,fishki.net,3E:E8:E9:A9:2E:6B:F4:FD:89:75:09:0D:5A:4F:DC:7B:31:AC:D6:89:1C:D3:08:34:68:8C:E0:6D:9D:C9:56:F6
1084,narod.ru,48:15:25:F4:02:EA:B7:C5:82:FC:7F:AB:E9:13:63:13:5B:F4:40:FD:BC:04:AA:38:1A:62:60:4A:09:FC:B7:23
1088,searchalgo.com,D5:80:BD:48:35:84:98:C9:0F:4A:B8:97:E1:F0:A9:86:2A:37:4A:36:8D:C7:5E:C1:C5:59:A9:BB:87:EE:7B:CF
1101,pipeaota.com,E9:2D:0A:C2:8A:DD:73:97:0F:E8:98:5E:24:65:0C:F1:16:F0:16:77:41:99:18:65:B3:F8:3F:FD:37:E8:C1:72
1115,bedbathandbeyond.com,16:D0:34:64:52:5C:92:75:2A:60:BC:07:16:32:F5:A1:D9:55:A8:30:6F:63:F0:EB:5F:03:87:C6:A1:19:E5:B0
1121,abplive.in,D5:80:BD:48:35:84:98:C9:0F:4A:B8:97:E1:F0:A9:86:2A:37:4A:36:8D:C7:5E:C1:C5:59:A9:BB:87:EE:7B:CF
1132,lloydsbank.co.uk,8C:AD:63:A0:31:12:F7:33:3E:27:CB:19:7D:DB:28:87:C2:BF:5F:13:25:12:C2:1B:FC:EE:BA:31:9D:16:ED:06
1167,techradar.com,53:C4:C9:5D:F6:20:AE:4C:74:EB:49:9C:28:80:34:0B:17:EA:77:50:D6:C9:49:7B:5A:85:BF:D3:1E:1D:00:34
1172,cam4.com,96:E5:D8:9F:11:86:31:9E:D2:03:FD:C5:D8:12:B2:AC:72:68:48:A4:8F:5C:7C:35:65:14:F8:51:B2:08:4D:1F
1199,breitbart.com,E9:2D:0A:C2:8A:DD:73:97:0F:E8:98:5E:24:65:0C:F1:16:F0:16:77:41:99:18:65:B3:F8:3F:FD:37:E8:C1:72
1221,garanti.com.tr,6D:1E:16:5E:08:A5:FC:DA:33:A3:5D:96:CF:07:18:50:12:8A:A9:76:FE:FF:C7:79:A8:39:87:6C:F0:0A:7E:FD
1250,joins.com,50:41:B6:11:7E:25:A6:68:49:05:EB:0B:15:E7:02:70:9A:8F:54:62:0A:72:8A:90:9B:AE:6C:5E:FD:98:46:ED
1253,argaam.com,D5:80:BD:48:35:84:98:C9:0F:4A:B8:97:E1:F0:A9:86:2A:37:4A:36:8D:C7:5E:C1:C5:59:A9:BB:87:EE:7B:CF
1279,thepennyhoarder.com,67:08:97:45:B1:E8:DB:18:42:06:02:F1:9D:85:43:EC:27:22:AD:BC:2D:93:DB:06:4D:DA:C1:3B:1A:1E:C2:1F
